Nome,Data de Nascimento,CPF,Profissões
Pietra Fernandes,09/09/2006,521.678.043-26,"[carpinteiro, pintor, técnico em segurança do trabalho]"
Murilo Nascimento,29/06/1981,319.052.647-80,[marceneiro]
Dr. Rafael Moura,12/03/1959,850.639.712-02,"[eletricista, engenheiro civil]"
Laís da Costa,20/02/1984,284.763.519-09,[engenheiro civil]
Sr. Bryan Freitas,06/03/1985,376.209.851-40,"[marceneiro, encanador, técnico em segurança do trabalho]"
João Gabriel Ferreira,30/08/1977,490.817.523-32,[arquiteto]
Maria Eduarda Duarte,01/07/2001,798.605.241-49,[assistente administrativo]
Srta. Gabriela Moura,15/09/1986,895.374.216-19,"[técnico em segurança do trabalho, arquiteto, assistente administrativo]"
Henrique Fernandes,11/03/1970,135.074.962-16,"[arquiteto, pedreiro]"
Sra. Emilly Souza,11/02/1995,413.286.570-35,[arquiteto]
Dra. Ana Freitas,07/08/1957,084.513.976-20,"[engenheiro civil, eletricista, pedreiro]"
Luana Pires,08/09/1977,204.638.719-87,"[pintor, técnico em segurança do trabalho, arquiteto]"
Murilo Barros,29/10/1964,241.708.395-79,[engenheiro civil]
Isis Porto,17/08/1984,469.780.532-10,[marceneiro]
Rafael Cardoso,10/03/1965,321.709.486-78,"[carpinteiro, arquiteto]"
Arthur Dias,08/02/1974,471.582.630-53,[encanador]
Clarice da Costa,30/07/1972,210.894.567-94,[carpinteiro]
Olivia Jesus,12/02/2002,647.308.512-26,[carpinteiro]
Eloah Araújo,18/09/1960,304.781.926-22,[marceneiro]
Diego Pinto,12/09/1997,719.236.450-99,[pintor]
Isaac Oliveira,15/09/2001,746.980.351-39,[arquiteto]
Igor Correia,27/01/2007,680.543.972-83,[eletricista]
Isabelly Sales,22/01/1997,703.241.659-43,"[técnico em segurança do trabalho, engenheiro civil, assistente administrativo]"
Antônio Duarte,20/10/2002,240.837.165-17,"[encanador, técnico em segurança do trabalho, engenheiro civil]"
Pedro da Costa,01/06/1988,489.365.170-66,"[pedreiro, engenheiro civil]"
Caroline Silva,15/04/2005,214.639.708-03,[marceneiro]
Sra. Maria Sophia Rodrigues,12/08/1964,789.264.315-09,"[pedreiro, pintor, encanador]"
Samuel Duarte,31/05/1993,639.028.417-96,"[técnico em segurança do trabalho, carpinteiro]"
Alícia Costela,06/09/1988,951.630.842-24,"[marceneiro, carpinteiro, pedreiro]"
Milena da Costa,05/08/1959,745.893.012-88,"[pintor, marceneiro, engenheiro civil]"
Dr. Marcelo Azevedo,09/07/1996,134.950.872-14,[engenheiro civil]
Bárbara Jesus,21/06/1956,059.268.374-56,"[técnico em segurança do trabalho, assistente administrativo, pedreiro]"
Júlia da Mata,25/01/1966,216.458.390-60,[eletricista]
Lucas Gabriel Fernandes,10/10/1985,407.259.183-14,"[engenheiro civil, marceneiro]"
Dr. Pedro Miguel Pereira,23/06/2001,479.135.086-39,"[arquiteto, marceneiro]"
Isabella Gonçalves,01/02/2002,406.289.571-49,[arquiteto]
Yago Dias,24/10/1995,538.421.097-41,[marceneiro]
Yuri Pires,09/10/1956,952.078.364-47,[assistente administrativo]
Yuri Viana,26/05/1979,894.612.357-55,"[técnico em segurança do trabalho, encanador]"
Lucas Gabriel Cardoso,30/01/1964,365.098.274-92,[pedreiro]
Isadora Ferreira,13/04/1994,651.873.029-30,[assistente administrativo]
Clarice Campos,28/09/1997,746.019.852-85,"[carpinteiro, pedreiro]"
Caio Duarte,30/01/1991,267.954.380-74,"[técnico em segurança do trabalho, eletricista]"
Milena Castro,20/10/1987,964.052.137-06,"[arquiteto, técnico em segurança do trabalho]"
João Guilherme Castro,28/02/2001,589.032.167-68,[engenheiro civil]
Rafael da Rosa,03/03/1998,908.621.457-67,"[engenheiro civil, carpinteiro]"
Vitor Hugo Vieira,06/08/1968,938.214.057-32,"[arquiteto, carpinteiro, pintor]"
Marcelo Fernandes,18/05/1966,102.879.563-77,[carpinteiro]
Benjamin Costela,22/12/2004,681.503.479-84,"[técnico em segurança do trabalho, arquiteto, assistente administrativo]"
Lívia das Neves,11/05/1996,084.359.712-79,[arquiteto]
Nina Cavalcanti,12/11/1987,718.249.035-88,[assistente administrativo]
Maysa Vieira,18/12/2002,564.379.802-65,[encanador]
Milena Vieira,22/07/2003,367.192.584-19,[engenheiro civil]
Srta. Gabrielly Pereira,08/10/1975,452.830.967-00,"[marceneiro, engenheiro civil]"
Ana Luiza Moura,11/05/1963,805.793.241-41,"[encanador, carpinteiro, marceneiro]"
Srta. Esther Lima,07/06/1978,183.957.604-93,"[encanador, arquiteto]"
Isadora Correia,25/05/2006,436.795.021-25,"[eletricista, engenheiro civil]"
Diego Fogaça,27/04/2002,458.017.362-71,"[pintor, engenheiro civil, eletricista]"
Dra. Alice Carvalho,10/04/2005,836.972.154-00,"[assistente administrativo, eletricista]"
Sra. Stephany Cardoso,30/01/1958,290.578.341-97,"[pintor, marceneiro]"
Maria Pires,08/09/1982,431.280.657-80,[técnico em segurança do trabalho]
Natália Lima,04/08/1957,360.712.589-95,"[encanador, marceneiro, arquiteto]"
Igor Costa,11/01/1955,762.134.895-09,"[engenheiro civil, arquiteto, eletricista]"
João Vitor Barbosa,09/03/1984,071.624.358-07,[pintor]
Dra. Kamilly Gonçalves,04/05/1962,605.143.289-24,[engenheiro civil]
Felipe Pinto,29/07/1994,681.325.790-03,"[eletricista, assistente administrativo]"
Luiz Gustavo Correia,11/08/1990,835.271.406-62,"[arquiteto, eletricista]"
Eduardo da Luz,30/06/1995,219.653.478-19,"[arquiteto, carpinteiro, eletricista]"
Maria Fernanda Martins,08/03/1997,527.039.816-86,"[marceneiro, assistente administrativo, eletricista]"
Sr. Henrique Rezende,03/04/1985,095.628.471-01,[marceneiro]
Maria Luiza Vieira,13/10/2004,073.248.195-32,"[arquiteto, assistente administrativo, eletricista]"
Joaquim Cardoso,01/11/1988,203.576.149-25,"[encanador, engenheiro civil]"
João Pedro Oliveira,16/03/2007,509.826.317-40,"[pintor, engenheiro civil, eletricista]"
Dra. Maria da Costa,09/03/1977,125.873.960-77,"[técnico em segurança do trabalho, eletricista, carpinteiro]"
Matheus Nascimento,17/04/1998,521.963.807-68,[pedreiro]
Diego da Rosa,03/10/1977,738.160.249-04,"[carpinteiro, encanador]"
Heloísa Costela,22/02/1995,628.154.973-28,"[assistente administrativo, eletricista]"
Juan Moreira,12/07/2000,374.659.120-16,[técnico em segurança do trabalho]
Yuri Ribeiro,15/09/1967,578.623.409-65,"[pedreiro, arquiteto, carpinteiro]"
Beatriz Fernandes,19/01/1958,751.840.263-71,[marceneiro]
Levi Silva,12/07/1964,613.972.085-03,"[assistente administrativo, arquiteto, carpinteiro]"
Lívia Moura,19/07/1970,615.802.749-94,"[encanador, arquiteto]"
Daniel Azevedo,09/01/1974,729.340.561-80,[pedreiro]
Davi Lucas Vieira,28/12/2003,986.021.573-12,[carpinteiro]
Kaique Ramos,11/10/1958,170.546.928-02,"[pintor, carpinteiro]"
Kevin Almeida,04/05/1996,536.190.248-98,"[engenheiro civil, encanador]"
Lorena Barbosa,04/10/1997,654.802.913-51,"[marceneiro, pintor, pedreiro]"
Dra. Marina Cavalcanti,01/01/2007,952.074.836-92,"[assistente administrativo, engenheiro civil, encanador]"
Letícia Rocha,28/06/1997,291.530.846-24,[pedreiro]
Augusto Lopes,08/08/1975,867.201.945-85,[assistente administrativo]
Helena Fogaça,21/12/1962,568.937.201-30,"[pintor, pedreiro, engenheiro civil]"
Sra. Isadora Silveira,26/08/1972,169.347.250-34,"[assistente administrativo, marceneiro]"
Igor Gonçalves,11/05/1975,762.539.801-30,"[carpinteiro, técnico em segurança do trabalho]"
Larissa Freitas,07/01/1998,016.248.935-89,[engenheiro civil]
Cauê Campos,24/07/1970,596.407.123-61,"[pintor, eletricista]"
Dr. Leonardo Cardoso,22/07/1993,285.397.104-04,[engenheiro civil]
Srta. Luna Silveira,01/11/1980,814.623.957-91,[engenheiro civil]
Sra. Catarina Costa,27/09/1963,172.530.869-02,"[pintor, eletricista]"
Srta. Maria Clara Viana,05/04/1974,428.679.105-01,[eletricista]
Erick Sales,16/04/1956,589.341.067-00,"[arquiteto, pedreiro]"
Raquel Rocha,11/04/1990,691.720.385-86,"[arquiteto, pintor, carpinteiro]"
Yago Vieira,15/01/1998,928.340.576-56,[eletricista]
Davi Luiz da Cruz,16/06/1976,354.602.179-70,[encanador]
Pedro Lucas Jesus,24/04/1996,812.469.573-37,"[carpinteiro, marceneiro]"
Amanda Araújo,11/01/1960,043.687.912-31,"[pedreiro, pintor, arquiteto]"
Fernanda Rocha,02/03/1971,647.059.132-99,"[encanador, arquiteto]"
Letícia da Rocha,26/08/1977,925.678.410-67,[pedreiro]
Sr. Ian Duarte,31/03/1986,147.960.852-11,"[engenheiro civil, eletricista, carpinteiro]"
Kamilly Farias,15/05/1965,593.617.482-46,"[pedreiro, carpinteiro, engenheiro civil]"
Alexia Carvalho,06/04/1981,873.142.096-69,"[pedreiro, marceneiro]"
Maria Vitória Ribeiro,12/12/1973,801.372.456-53,"[pintor, encanador, marceneiro]"
João Barros,23/04/1993,835.420.971-79,"[eletricista, arquiteto, encanador]"
Emilly Costa,04/04/1963,165.824.703-53,"[pedreiro, pintor, encanador]"
Maitê Nunes,13/07/1988,098.152.346-33,"[eletricista, arquiteto, assistente administrativo]"
Otávio Silva,06/01/1964,592.347.861-73,[pedreiro]
Dra. Fernanda Ribeiro,20/08/1955,591.342.087-04,"[pedreiro, assistente administrativo, eletricista]"
Pietro Dias,05/08/2003,072.456.398-92,"[arquiteto, carpinteiro]"
Murilo Correia,26/06/1967,075.316.842-17,"[eletricista, engenheiro civil]"
Dra. Ana Carolina Cunha,18/10/1989,385.794.610-57,"[encanador, pintor]"
Maria Alice Mendes,04/09/1991,547.162.809-85,"[técnico em segurança do trabalho, encanador]"
Thales da Rocha,22/06/2001,759.246.801-85,"[engenheiro civil, arquiteto, técnico em segurança do trabalho]"
Isabel da Conceição,08/04/1974,041.236.598-70,"[assistente administrativo, marceneiro, eletricista]"
Emanuelly Fogaça,04/11/1963,138.054.926-42,"[encanador, pintor, marceneiro]"
Caio Oliveira,23/12/1976,712.048.395-14,[eletricista]
Milena da Paz,10/12/2005,459.806.127-85,[engenheiro civil]
Kaique da Luz,22/12/1956,672.580.413-62,[carpinteiro]
Dr. Lorenzo Viana,08/03/1990,729.810.645-76,[engenheiro civil]
Eloah da Mata,18/06/1955,543.187.926-09,"[encanador, marceneiro]"
João Castro,28/01/1967,275.109.386-86,"[pedreiro, engenheiro civil]"
Isaac Jesus,20/02/1994,904.521.863-15,"[pedreiro, técnico em segurança do trabalho, encanador]"
Gabriela da Cruz,02/02/1982,841.526.709-67,[assistente administrativo]
Brenda Ramos,21/05/2005,956.843.102-06,"[carpinteiro, marceneiro, pedreiro]"
Lavínia Souza,24/05/2002,518.049.726-49,[assistente administrativo]
Igor Silveira,27/07/1984,137.048.695-20,"[arquiteto, técnico em segurança do trabalho, carpinteiro]"
Kamilly Ramos,16/11/1992,087.529.314-04,"[engenheiro civil, marceneiro, técnico em segurança do trabalho]"
Srta. Maria Luiza Cardoso,01/08/1957,651.408.397-84,[técnico em segurança do trabalho]
Carolina Cunha,13/08/2006,659.378.024-38,"[arquiteto, encanador, pintor]"
Isabel Costa,24/08/1966,862.510.497-58,"[encanador, arquiteto]"
Rebeca Viana,13/05/1983,863.172.950-77,"[arquiteto, técnico em segurança do trabalho]"
Srta. Alícia Peixoto,06/05/1996,038.964.517-66,[técnico em segurança do trabalho]
Vicente Barbosa,16/11/1981,738.601.254-35,"[eletricista, engenheiro civil]"
Maria Vitória Martins,16/08/1970,423.785.096-00,"[eletricista, arquiteto, técnico em segurança do trabalho]"
Nicole Pereira,29/04/1992,705.963.241-70,"[engenheiro civil, eletricista, técnico em segurança do trabalho]"
Brenda Jesus,13/02/1980,287.169.530-02,[eletricista]
Júlia Peixoto,04/06/1992,826.197.530-40,[eletricista]
Isadora Carvalho,14/12/1990,304.957.862-92,"[pintor, arquiteto]"
Rebeca da Rosa,15/02/1987,354.018.627-17,[assistente administrativo]
Samuel da Rocha,29/06/1981,385.629.471-64,[engenheiro civil]
Francisco Moreira,26/05/1989,791.653.208-59,"[assistente administrativo, engenheiro civil]"
Dr. Augusto das Neves,10/12/2004,204.765.318-53,[pedreiro]
Isaac Dias,07/05/1980,937.452.618-28,"[pintor, arquiteto]"
Bárbara Moraes,08/01/1966,287.140.539-50,"[pedreiro, carpinteiro]"
Juan Cunha,03/06/1997,312.084.956-15,[pedreiro]
Maysa Rocha,14/05/1999,708.463.951-93,"[encanador, carpinteiro]"
Esther Aragão,04/09/1988,621.047.593-07,"[pedreiro, técnico em segurança do trabalho, carpinteiro]"
Dr. João Vitor Cardoso,21/11/1979,673.512.048-53,"[eletricista, pedreiro]"
João Nascimento,02/03/1980,870.591.642-94,"[arquiteto, encanador]"
Valentina Melo,03/01/1993,180.964.357-01,"[engenheiro civil, técnico em segurança do trabalho, encanador]"
Rodrigo Freitas,16/06/1991,902.678.154-76,"[pedreiro, técnico em segurança do trabalho]"
Sra. Ana Julia Jesus,22/07/1965,936.542.870-00,[pedreiro]
Dra. Ana Júlia Santos,25/03/2005,501.378.269-40,"[pedreiro, assistente administrativo]"
Sr. Pedro Miguel Fogaça,28/02/1985,735.489.126-64,"[assistente administrativo, arquiteto]"
Vitor Gonçalves,10/04/1971,194.836.572-37,[pedreiro]
Bryan Almeida,25/06/1975,754.016.832-35,"[encanador, carpinteiro, marceneiro]"
Maria Eduarda Silva,08/04/1982,109.248.675-58,"[pedreiro, assistente administrativo, técnico em segurança do trabalho]"
Juan Nogueira,07/04/1960,832.591.467-09,[carpinteiro]
Luiz Felipe da Conceição,22/10/1958,264.398.015-89,"[pedreiro, pintor]"
Thiago Sales,29/11/1994,937.012.654-61,[técnico em segurança do trabalho]
Isis Melo,16/06/1984,562.784.139-73,"[pintor, pedreiro]"
João Vitor Lopes,02/05/1974,735.826.904-74,"[pedreiro, eletricista]"
Maria Cecília da Mata,22/11/2000,807.513.249-14,[técnico em segurança do trabalho]
Nicole Sales,22/12/1963,439.518.706-48,[arquiteto]
Luana Nunes,12/11/1990,860.924.735-00,[pintor]
Natália Moraes,27/10/1965,906.723.845-74,[marceneiro]
Enzo Gabriel Silva,29/04/2005,893.726.450-10,"[carpinteiro, encanador, engenheiro civil]"
Sr. Lucca Cavalcanti,10/08/1974,618.957.243-09,[carpinteiro]
Valentina da Rocha,18/12/1989,759.038.261-21,"[assistente administrativo, engenheiro civil, encanador]"
Thales Correia,15/01/1956,512.984.670-20,"[marceneiro, engenheiro civil]"
Dr. Lucas Gabriel Dias,24/01/1982,296.304.178-04,"[eletricista, pintor]"
Agatha da Rosa,03/07/1968,418.697.250-85,[encanador]
Ana Sophia Ferreira,22/02/2000,785.436.920-83,"[marceneiro, assistente administrativo, eletricista]"
Dr. Lorenzo da Luz,04/05/2000,412.708.653-07,[encanador]
Sr. Luiz Gustavo Nogueira,18/12/1982,926.317.580-21,[eletricista]
Esther Cunha,27/03/1967,570.628.349-47,"[pedreiro, encanador, engenheiro civil]"
Maria Eduarda Santos,11/12/1998,769.358.402-10,[encanador]
Alice das Neves,18/05/1974,043.821.756-07,"[engenheiro civil, marceneiro, eletricista]"
Maitê Correia,22/06/1993,145.803.967-66,"[encanador, marceneiro, carpinteiro]"
Dra. Sophia Farias,05/10/1974,074.293.586-83,"[arquiteto, pedreiro]"
Dra. Olivia Monteiro,13/11/2002,962.415.803-70,"[pintor, marceneiro, encanador]"
Emilly Teixeira,17/12/1965,548.726.031-17,[pedreiro]
Guilherme Costela,27/03/2002,239.571.840-88,"[marceneiro, pedreiro]"
Marina Fogaça,23/03/1997,697.058.321-02,"[técnico em segurança do trabalho, assistente administrativo]"
Sra. Laís Rodrigues,09/10/1976,901.532.847-14,"[assistente administrativo, arquiteto]"
Kevin da Rosa,02/03/1988,459.278.163-55,"[eletricista, arquiteto, técnico em segurança do trabalho]"
Sr. Augusto Castro,10/02/1997,701.693.485-39,"[pedreiro, eletricista]"
Ryan Costela,25/09/1998,429.058.761-58,"[engenheiro civil, marceneiro]"
Milena da Cunha,10/01/1958,643.750.892-29,"[técnico em segurança do trabalho, engenheiro civil]"
Ana Julia Costela,25/11/1994,387.062.519-86,"[encanador, pedreiro]"
Ana Julia Dias,27/07/1980,198.265.730-86,"[carpinteiro, técnico em segurança do trabalho]"
Nicole da Conceição,27/02/1959,802.371.465-17,"[assistente administrativo, técnico em segurança do trabalho]"
Bryan Castro,12/01/1964,165.329.480-98,[pintor]
Marcos Vinicius Gomes,27/06/2001,043.865.127-80,"[pintor, eletricista]"
Pedro Barros,15/10/1970,761.934.025-43,"[eletricista, arquiteto, carpinteiro]"
Dr. Cauê Nogueira,07/03/1993,652.930.478-92,"[engenheiro civil, marceneiro, encanador]"
Francisco da Rosa,18/03/1957,064.587.312-80,"[pedreiro, técnico em segurança do trabalho, engenheiro civil]"
Pedro Miguel Teixeira,02/02/1991,924.086.173-40,"[técnico em segurança do trabalho, encanador, arquiteto]"
Maria Sophia Campos,11/08/1975,630.178.594-01,[marceneiro]
Raul da Luz,18/08/1962,029.138.476-50,"[engenheiro civil, pedreiro]"
Vinicius Fogaça,18/05/2004,105.632.897-59,"[engenheiro civil, eletricista, pintor]"
Laís Silva,03/01/1979,072.816.943-69,"[arquiteto, encanador]"
Vicente Silva,04/09/1954,093.872.564-56,"[pedreiro, arquiteto]"
Marcos Vinicius Peixoto,12/10/1969,536.927.041-43,"[pintor, técnico em segurança do trabalho]"
Luiz Fernando Barros,15/09/1966,380.976.214-87,"[eletricista, encanador]"
Marcos Vinicius Ramos,17/01/1955,534.726.189-73,[marceneiro]
Luna da Paz,06/05/2004,832.096.175-03,"[engenheiro civil, pintor, marceneiro]"
Olivia Alves,19/04/1977,064.917.532-80,"[arquiteto, assistente administrativo, engenheiro civil]"
Danilo Freitas,31/10/1960,036.528.974-47,[técnico em segurança do trabalho]
Beatriz Novaes,05/08/1959,906.517.243-25,"[encanador, arquiteto]"
Pietra Martins,23/02/1976,743.015.692-43,"[eletricista, marceneiro, engenheiro civil]"
Levi Rezende,15/11/1975,615.983.274-37,"[engenheiro civil, pintor]"
Bryan da Cruz,09/03/2001,403.621.857-35,[eletricista]
Dr. Luiz Gustavo Barros,01/08/2000,492.035.168-24,[arquiteto]
Daniel Costa,26/04/1955,032.187.946-50,[eletricista]
Anthony Campos,17/12/1967,721.680.493-78,[carpinteiro]
Murilo Pinto,19/10/2003,670.359.148-20,"[eletricista, assistente administrativo, técnico em segurança do trabalho]"
Guilherme Freitas,07/11/1984,203.597.461-52,[carpinteiro]
Bryan Freitas,25/07/1980,263.541.089-51,"[eletricista, técnico em segurança do trabalho, arquiteto]"
Maria Cecília Rodrigues,30/11/1977,985.321.046-06,"[pintor, assistente administrativo]"
Yago Freitas,28/06/1958,785.641.902-49,[eletricista]
Eduarda Fogaça,26/10/1990,036.215.478-35,"[marceneiro, encanador]"
Dra. Isabella Araújo,16/05/2002,523.674.801-17,"[técnico em segurança do trabalho, marceneiro]"
Bryan Caldeira,01/05/1970,930.487.256-10,"[carpinteiro, assistente administrativo, arquiteto]"
Joaquim da Luz,09/07/1976,092.451.876-67,"[eletricista, marceneiro, engenheiro civil]"
João Lucas Novaes,19/05/1994,154.298.367-37,[arquiteto]
Gabrielly da Luz,17/08/2002,853.941.762-64,"[encanador, engenheiro civil]"
Davi Almeida,10/04/2002,960.142.857-76,"[pedreiro, técnico em segurança do trabalho, arquiteto]"
Bianca Melo,22/03/2005,135.290.674-07,"[encanador, pedreiro]"
Emanuel Farias,02/09/2001,154.608.792-30,"[encanador, carpinteiro]"
Sra. Bárbara Oliveira,21/01/1988,659.034.178-84,"[marceneiro, engenheiro civil, arquiteto]"
Arthur Gonçalves,14/11/1955,541.027.369-99,"[marceneiro, assistente administrativo]"
Ana Laura Mendes,04/12/1994,970.351.682-30,[assistente administrativo]
Isaac da Rocha,07/06/1967,684.529.107-11,"[marceneiro, assistente administrativo, carpinteiro]"
Maria Julia Vieira,29/11/1987,205.836.971-86,"[técnico em segurança do trabalho, encanador]"
Caio Araújo,01/08/1968,241.309.678-78,"[carpinteiro, engenheiro civil]"
Emanuella Carvalho,07/03/1998,862.739.150-59,"[eletricista, técnico em segurança do trabalho]"
Leonardo Rezende,04/06/1972,340.157.826-07,[engenheiro civil]
Júlia Dias,04/03/1992,068.453.172-08,"[encanador, engenheiro civil]"
João Vitor Azevedo,01/09/1988,982.031.467-40,"[marceneiro, arquiteto]"
Augusto Pereira,01/11/1959,632.947.580-65,[assistente administrativo]
João Pedro Novaes,26/01/1992,547.608.391-00,"[assistente administrativo, marceneiro]"
Danilo Castro,09/09/1961,914.672.385-46,[assistente administrativo]
Luiza Ribeiro,19/01/1957,246.185.307-07,"[encanador, eletricista]"
Sr. Benjamin Ribeiro,11/10/1972,509.627.418-76,"[marceneiro, técnico em segurança do trabalho]"
Daniel Jesus,10/02/2005,754.839.061-01,"[eletricista, pedreiro, encanador]"
Juan Rodrigues,09/03/2006,850.417.239-23,"[arquiteto, técnico em segurança do trabalho, encanador]"
Yago Souza,14/03/1993,023.619.547-61,[encanador]
João Guilherme da Paz,22/02/1973,576.908.132-59,[pedreiro]
Lavínia da Luz,18/10/1986,985.216.073-77,"[pintor, eletricista, carpinteiro]"
Ana Beatriz da Cruz,11/06/1993,398.512.740-97,[engenheiro civil]
Alana Ribeiro,04/07/1963,203.946.517-07,"[encanador, carpinteiro, eletricista]"
Dr. Fernando da Rosa,05/04/1986,486.905.231-89,"[carpinteiro, assistente administrativo, técnico em segurança do trabalho]"
Rodrigo Cavalcanti,14/04/1987,154.826.739-28,"[técnico em segurança do trabalho, eletricista, assistente administrativo]"
Davi Lucas Silveira,04/08/2006,306.521.874-71,"[pedreiro, técnico em segurança do trabalho, marceneiro]"
Francisco Peixoto,13/01/1982,603.251.794-25,"[pintor, pedreiro]"
Fernanda da Cunha,03/04/1999,824.031.956-42,"[pintor, marceneiro]"
Helena Carvalho,17/08/1969,534.829.761-55,[pintor]
Ana Vitória Ribeiro,26/02/1958,917.840.326-03,"[técnico em segurança do trabalho, eletricista]"
Ana Beatriz da Costa,07/11/1963,356.491.280-06,"[pedreiro, arquiteto, carpinteiro]"
Luigi Melo,11/06/1997,250.739.164-25,"[marceneiro, pintor]"
Valentina Carvalho,23/04/1963,968.375.402-38,"[pintor, marceneiro]"
Catarina Moura,17/06/1955,583.096.147-48,"[arquiteto, carpinteiro]"
Cauê Cavalcanti,08/08/1980,842.067.913-50,"[arquiteto, técnico em segurança do trabalho, pedreiro]"
Nina Cunha,28/10/1977,753.190.642-25,[engenheiro civil]
Thomas Aragão,18/08/1994,821.950.367-02,"[pintor, técnico em segurança do trabalho, arquiteto]"
Mariane Barros,02/12/1994,019.756.382-12,[engenheiro civil]
Marcos Vinicius Fernandes,14/10/1986,230.987.654-29,"[arquiteto, assistente administrativo]"
Ana Lívia Silva,01/06/2003,914.063.825-15,"[técnico em segurança do trabalho, encanador]"
Luiz Henrique da Paz,10/11/1978,642.083.175-07,[carpinteiro]
Sr. Alexandre Alves,16/03/2000,197.804.523-97,"[encanador, engenheiro civil, assistente administrativo]"
Pedro Dias,01/08/1985,497.061.582-94,"[arquiteto, carpinteiro]"
Gabrielly Pereira,04/10/2004,190.785.243-32,"[pedreiro, marceneiro, engenheiro civil]"
